fips,stateabbr,naics,month_code,standard_error,year,month_number,date
33,NH,447,se201901,3.7,2019,1,2019-01-01
33,NH,448,se201901,5.1,2019,1,2019-01-01
33,NH,451,se201901,8.4,2019,1,2019-01-01
33,NH,452,se201901,3.6,2019,1,2019-01-01
33,NH,453,se201901,5.3,2019,1,2019-01-01
33,NH,TOTAL,se201901,2.3,2019,1,2019-01-01
34,NJ,441,se201901,2.9,2019,1,2019-01-01
34,NJ,442,se201901,4.0,2019,1,2019-01-01
34,NJ,443,se201901,7.6,2019,1,2019-01-01
34,NJ,444,se201901,3.7,2019,1,2019-01-01
34,NJ,445,se201901,2.1,2019,1,2019-01-01
34,NJ,446,se201901,1.2,2019,1,2019-01-01
34,NJ,447,se201901,3.6,2019,1,2019-01-01
34,NJ,448,se201901,3.8,2019,1,2019-01-01
34,NJ,451,se201901,4.4,2019,1,2019-01-01
34,NJ,452,se201901,3.1,2019,1,2019-01-01
34,NJ,453,se201901,3.5,2019,1,2019-01-01
34,NJ,TOTAL,se201901,1.1,2019,1,2019-01-01
35,NM,441,se201901,5.2,2019,1,2019-01-01
35,NM,442,se201901,7.9,2019,1,2019-01-01
35,NM,443,se201901,13.6,2019,1,2019-01-01
35,NM,444,se201901,5.9,2019,1,2019-01-01
35,NM,445,se201901,5.2,2019,1,2019-01-01
35,NM,446,se201901,3.2,2019,1,2019-01-01
35,NM,447,se201901,3.3,2019,1,2019-01-01
35,NM,448,se201901,4.7,2019,1,2019-01-01
35,NM,451,se201901,10.7,2019,1,2019-01-01
35,NM,452,se201901,3.7,2019,1,2019-01-01
35,NM,453,se201901,5.1,2019,1,2019-01-01
35,NM,TOTAL,se201901,1.9,2019,1,2019-01-01
36,NY,441,se201901,2.5,2019,1,2019-01-01
36,NY,442,se201901,3.1,2019,1,2019-01-01
36,NY,443,se201901,12.8,2019,1,2019-01-01
36,NY,444,se201901,3.0,2019,1,2019-01-01
36,NY,445,se201901,1.8,2019,1,2019-01-01
36,NY,446,se201901,0.8,2019,1,2019-01-01
36,NY,447,se201901,2.3,2019,1,2019-01-01
36,NY,448,se201901,3.6,2019,1,2019-01-01
36,NY,451,se201901,5.9,2019,1,2019-01-01
36,NY,452,se201901,2.6,2019,1,2019-01-01
36,NY,453,se201901,10.1,2019,1,2019-01-01
36,NY,TOTAL,se201901,1.2,2019,1,2019-01-01
37,NC,441,se201901,2.9,2019,1,2019-01-01
37,NC,442,se201901,4.2,2019,1,2019-01-01
37,NC,443,se201901,6.3,2019,1,2019-01-01
37,NC,444,se201901,3.2,2019,1,2019-01-01
37,NC,445,se201901,1.7,2019,1,2019-01-01
37,NC,446,se201901,1.3,2019,1,2019-01-01
37,NC,447,se201901,1.9,2019,1,2019-01-01
37,NC,448,se201901,3.6,2019,1,2019-01-01
37,NC,451,se201901,6.5,2019,1,2019-01-01
37,NC,452,se201901,1.7,2019,1,2019-01-01
37,NC,453,se201901,3.0,2019,1,2019-01-01
37,NC,TOTAL,se201901,0.9,2019,1,2019-01-01
38,ND,441,se201901,7.0,2019,1,2019-01-01
38,ND,442,se201901,10.9,2019,1,2019-01-01
38,ND,443,se201901,,2019,1,2019-01-01
38,ND,444,se201901,7.6,2019,1,2019-01-01
38,ND,445,se201901,7.8,2019,1,2019-01-01
38,ND,446,se201901,6.0,2019,1,2019-01-01
38,ND,447,se201901,4.7,2019,1,2019-01-01
38,ND,448,se201901,6.0,2019,1,2019-01-01
38,ND,451,se201901,5.2,2019,1,2019-01-01
38,ND,452,se201901,4.5,2019,1,2019-01-01
38,ND,453,se201901,7.2,2019,1,2019-01-01
38,ND,TOTAL,se201901,2.8,2019,1,2019-01-01
39,OH,441,se201901,2.3,2019,1,2019-01-01
39,OH,442,se201901,4.3,2019,1,2019-01-01
39,OH,443,se201901,6.0,2019,1,2019-01-01
39,OH,444,se201901,3.2,2019,1,2019-01-01
39,OH,445,se201901,2.7,2019,1,2019-01-01
39,OH,446,se201901,1.3,2019,1,2019-01-01
39,OH,447,se201901,2.2,2019,1,2019-01-01
39,OH,448,se201901,3.1,2019,1,2019-01-01
39,OH,451,se201901,5.0,2019,1,2019-01-01
39,OH,452,se201901,2.1,2019,1,2019-01-01
39,OH,453,se201901,2.6,2019,1,2019-01-01
39,OH,TOTAL,se201901,1.0,2019,1,2019-01-01
40,OK,441,se201901,4.0,2019,1,2019-01-01
40,OK,442,se201901,15.0,2019,1,2019-01-01
40,OK,443,se201901,9.0,2019,1,2019-01-01
40,OK,444,se201901,4.5,2019,1,2019-01-01
40,OK,445,se201901,4.5,2019,1,2019-01-01
40,OK,446,se201901,2.3,2019,1,2019-01-01
